airline,overall_rating,review_date,traveller_type,cabin,departure_date,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,recommended
Southwest Airlines,1,16-09-2017,Solo Leisure,Economy Class,01-09-2017,3,1,1,1,1,1,no
Southwest Airlines,5,13-09-2017,Couple Leisure,Economy Class,01-09-2017,1,5,5,5,5,5,no
Southwest Airlines,1,11-09-2017,Couple Leisure,Economy Class,01-09-2017,3,3,3,1,1,1,no
Southwest Airlines,10,08-09-2017,Solo Leisure,Economy Class,01-09-2017,5,5,5,5,5,4,yes
Southwest Airlines,1,26-08-2017,Solo Leisure,Economy Class,01-05-2017,2,3,2,2,1,2,no
Southwest Airlines,4,18-08-2017,Solo Leisure,Economy Class,01-08-2017,3,3,2,1,2,3,no
Southwest Airlines,3,12-08-2017,Solo Leisure,Economy Class,01-08-2017,2,2,2,1,1,1,no
Southwest Airlines,5,20-07-2017,Couple Leisure,Economy Class,01-07-2017,3,3,2,2,3,3,no
Southwest Airlines,1,29-06-2017,Solo Leisure,Economy Class,01-06-2017,1,1,1,1,1,1,no
Southwest Airlines,10,29-06-2017,Business,Economy Class,01-06-2017,4,5,5,5,5,5,yes
Southwest Airlines,1,17-06-2017,Solo Leisure,Economy Class,01-06-2017,1,1,1,1,1,1,no
Southwest Airlines,8,23-05-2017,Solo Leisure,Economy Class,01-05-2017,3,5,2,4,5,4,yes
Southwest Airlines,10,22-05-2017,Solo Leisure,Economy Class,01-05-2017,4,5,4,3,5,5,yes
Southwest Airlines,3,03-05-2017,Family Leisure,Economy Class,01-05-2017,4,5,3,5,1,3,no
Southwest Airlines,1,18-04-2017,Solo Leisure,Economy Class,01-04-2017,1,2,1,1,2,2,no
Southwest Airlines,10,09-04-2017,Family Leisure,Economy Class,01-04-2017,3,5,5,4,3,5,yes
Southwest Airlines,1,03-04-2017,Business,Economy Class,01-04-2017,3,3,1,1,2,3,no
Southwest Airlines,1,29-03-2017,Business,Economy Class,01-03-2017,2,2,1,1,1,1,no
Southwest Airlines,10,24-03-2017,Solo Leisure,Economy Class,01-03-2017,3,5,5,3,5,5,yes
Southwest Airlines,10,20-03-2017,Couple Leisure,Economy Class,01-03-2017,5,5,5,5,5,5,yes
Southwest Airlines,10,19-03-2017,Couple Leisure,Economy Class,01-03-2017,4,5,4,4,4,4,yes
Southwest Airlines,10,11-03-2017,Business,Economy Class,01-03-2017,4,4,5,5,5,5,yes
Southwest Airlines,1,25-02-2017,Business,Economy Class,01-02-2017,1,1,1,1,1,1,no
Southwest Airlines,1,23-02-2017,Couple Leisure,Economy Class,01-02-2017,1,1,1,1,1,1,no
Southwest Airlines,9,06-02-2017,Couple Leisure,Economy Class,01-12-2016,5,5,4,3,5,5,yes
Southwest Airlines,7,01-02-2017,Solo Leisure,Economy Class,01-01-2017,4,5,5,5,5,2,yes
Southwest Airlines,10,24-12-2016,Family Leisure,Economy Class,01-12-2016,4,5,5,5,5,5,yes
Southwest Airlines,1,24-12-2016,Business,Economy Class,01-12-2016,3,3,1,4,3,1,no
Southwest Airlines,2,23-12-2016,Solo Leisure,Economy Class,01-12-2016,1,1,1,1,2,2,no
Southwest Airlines,2,21-12-2016,Family Leisure,Economy Class,01-12-2016,2,3,2,2,3,3,no
Southwest Airlines,10,14-12-2016,Family Leisure,Economy Class,01-12-2016,5,5,5,4,5,5,yes
Southwest Airlines,2,05-12-2016,Family Leisure,Economy Class,01-11-2016,1,2,1,1,1,1,no
Southwest Airlines,10,30-11-2016,Business,Economy Class,01-11-2016,4,5,5,5,5,5,yes
Southwest Airlines,10,26-11-2016,Family Leisure,Economy Class,01-11-2016,5,5,5,5,5,5,yes
Southwest Airlines,10,24-11-2016,Couple Leisure,Economy Class,01-11-2016,4,5,5,3,5,5,yes
Southwest Airlines,2,20-11-2016,Family Leisure,Economy Class,01-11-2016,3,3,2,1,2,3,no
Southwest Airlines,9,08-11-2016,Solo Leisure,Economy Class,01-11-2016,4,4,3,3,4,4,yes
Southwest Airlines,10,04-11-2016,Couple Leisure,Economy Class,01-11-2016,3,5,2,5,5,5,yes
Southwest Airlines,4,28-10-2016,Couple Leisure,Economy Class,01-10-2016,4,3,4,3,1,1,no
Southwest Airlines,8,20-10-2016,Business,Economy Class,01-10-2016,3,5,3,5,4,5,yes
Southwest Airlines,3,19-10-2016,Business,Economy Class,01-10-2016,2,3,3,1,3,2,no
Southwest Airlines,1,15-10-2016,Solo Leisure,Economy Class,01-10-2016,1,1,1,1,1,1,no
Southwest Airlines,7,07-10-2016,Family Leisure,Economy Class,01-11-2015,4,4,3,3,3,4,yes
Southwest Airlines,3,03-10-2016,Couple Leisure,Economy Class,01-12-2015,2,2,2,2,2,2,no
Southwest Airlines,10,25-09-2016,Couple Leisure,Economy Class,01-09-2016,4,4,3,2,4,5,yes
Southwest Airlines,8,21-08-2016,Family Leisure,Economy Class,01-08-2016,3,4,4,4,3,4,yes
Southwest Airlines,10,20-08-2016,Family Leisure,Economy Class,01-08-2016,5,5,5,5,5,5,yes
Southwest Airlines,1,18-08-2016,Family Leisure,Economy Class,01-08-2016,1,2,1,1,2,2,no
Southwest Airlines,9,02-08-2016,Family Leisure,Economy Class,01-07-2016,4,4,4,2,4,4,yes
Southwest Airlines,2,27-07-2016,Solo Leisure,Economy Class,01-07-2016,1,2,1,2,2,2,no
Southwest Airlines,1,21-07-2016,Family Leisure,Economy Class,01-07-2016,3,2,3,2,1,1,no
Southwest Airlines,10,17-07-2016,Family Leisure,Economy Class,01-07-2016,5,5,5,5,5,5,yes
Southwest Airlines,10,07-07-2016,Solo Leisure,Economy Class,01-04-2016,5,5,5,5,5,5,yes
Southwest Airlines,2,17-05-2016,Family Leisure,Economy Class,01-05-2016,2,1,4,1,2,1,no
Southwest Airlines,1,06-05-2016,Family Leisure,Economy Class,01-04-2016,2,4,4,3,4,1,no
Southwest Airlines,6,29-04-2016,Family Leisure,Economy Class,01-04-2016,5,1,1,1,5,3,no
Southwest Airlines,5,16-04-2016,Couple Leisure,Economy Class,01-04-2016,3,3,3,4,3,3,no
Southwest Airlines,2,15-04-2016,Business,Economy Class,01-04-2016,3,3,1,1,1,1,no
Southwest Airlines,2,13-04-2016,Couple Leisure,Economy Class,01-04-2016,3,3,3,1,1,1,no
Southwest Airlines,10,11-04-2016,Solo Leisure,Economy Class,01-12-2015,4,5,5,5,4,5,yes
Southwest Airlines,3,07-04-2016,Solo Leisure,Economy Class,01-04-2016,2,2,3,1,2,2,no
Southwest Airlines,2,06-04-2016,Solo Leisure,Economy Class,01-03-2016,2,2,2,1,2,2,no
Southwest Airlines,3,29-03-2016,Family Leisure,Economy Class,01-03-2016,3,2,3,3,3,3,no
Southwest Airlines,10,27-03-2016,Family Leisure,Economy Class,01-03-2016,5,5,5,5,5,5,yes
Southwest Airlines,10,19-03-2016,Family Leisure,Economy Class,01-03-2016,4,5,5,5,5,4,yes
Southwest Airlines,4,10-03-2016,Couple Leisure,Economy Class,01-03-2016,1,4,3,1,3,1,no
Southwest Airlines,10,23-02-2016,Family Leisure,Economy Class,01-09-2015,5,5,4,5,5,5,yes
Southwest Airlines,10,20-02-2016,Family Leisure,Economy Class,01-05-2015,5,5,5,5,5,5,yes
Southwest Airlines,2,12-02-2016,Family Leisure,Economy Class,01-02-2016,2,2,3,1,4,2,no
Southwest Airlines,5,11-02-2016,Family Leisure,Economy Class,01-12-2015,2,4,2,1,3,3,yes
Southwest Airlines,8,09-02-2016,Couple Leisure,Economy Class,01-01-2016,4,4,3,4,4,4,yes
Southwest Airlines,1,08-02-2016,Couple Leisure,Economy Class,01-02-2016,1,1,2,1,1,1,no
Southwest Airlines,9,02-02-2016,Couple Leisure,Economy Class,01-01-2016,4,5,4,4,4,5,yes
Southwest Airlines,3,16-01-2016,Couple Leisure,Economy Class,01-01-2016,1,3,2,1,1,1,no
Southwest Airlines,8,11-01-2016,Family Leisure,Economy Class,01-12-2015,4,4,4,4,4,4,yes
Southwest Airlines,8,10-01-2016,Family Leisure,Economy Class,01-01-2016,2,4,3,4,5,5,yes
Southwest Airlines,9,09-01-2016,Solo Leisure,Economy Class,01-12-2015,4,4,4,4,4,5,yes
Southwest Airlines,6,06-01-2016,Business,Economy Class,01-12-2015,4,4,1,4,4,4,no
Southwest Airlines,4,03-01-2016,Business,Economy Class,01-01-2016,1,4,2,2,3,2,no
Southwest Airlines,2,28-12-2015,Solo Leisure,Economy Class,01-12-2015,3,2,3,1,2,2,no
Southwest Airlines,2,27-12-2015,Solo Leisure,Economy Class,01-12-2015,2,4,3,1,2,2,no
Southwest Airlines,9,16-12-2015,Family Leisure,Economy Class,01-07-2015,5,5,5,3,4,4,no
Southwest Airlines,1,12-12-2015,Business,Economy Class,01-12-2015,1,1,1,1,1,3,no
Southwest Airlines,2,12-12-2015,Couple Leisure,Economy Class,01-12-2015,1,3,2,1,5,1,no
Southwest Airlines,9,05-12-2015,Couple Leisure,Economy Class,01-12-2015,4,5,5,5,5,5,yes
Southwest Airlines,10,02-12-2015,Family Leisure,Economy Class,01-12-2015,4,5,4,5,5,5,yes
Southwest Airlines,3,01-12-2015,Couple Leisure,Economy Class,01-12-2015,1,4,1,1,1,2,no
Southwest Airlines,10,30-11-2015,Solo Leisure,Economy Class,01-11-2015,4,5,5,5,5,5,yes
Southwest Airlines,5,12-11-2015,Solo Leisure,Economy Class,01-04-2015,5,5,3,3,5,5,yes
Southwest Airlines,7,11-11-2015,Solo Leisure,Economy Class,01-11-2015,3,4,3,2,4,4,yes
Southwest Airlines,1,05-11-2015,Business,Economy Class,01-11-2015,1,1,1,1,1,1,no
Southwest Airlines,10,20-10-2015,Business,Economy Class,01-10-2015,3,4,2,2,3,4,yes
Southwest Airlines,1,17-10-2015,Family Leisure,Economy Class,01-10-2015,3,4,3,4,3,3,no
Southwest Airlines,9,09-10-2015,Family Leisure,Economy Class,01-09-2015,3,3,2,3,4,5,yes
Southwest Airlines,2,30-09-2015,Solo Leisure,Economy Class,01-05-2015,1,1,1,1,1,1,no
Southwest Airlines,4,15-09-2015,Solo Leisure,Economy Class,01-09-2015,2,3,2,1,2,2,no
Southwest Airlines,10,14-09-2015,Couple Leisure,Economy Class,01-09-2015,4,5,5,3,5,4,yes
Southwest Airlines,10,01-09-2015,Couple Leisure,Economy Class,01-08-2015,4,5,5,5,5,5,yes
Southwest Airlines,1,29-08-2015,Business,Economy Class,01-08-2015,1,3,3,3,1,1,no
Southwest Airlines,10,28-08-2015,Solo Leisure,Economy Class,01-06-2015,4,5,4,4,5,5,yes
Southwest Airlines,3,14-08-2015,Business,Economy Class,01-08-2015,3,1,1,1,3,3,no
Southwest Airlines,1,07-08-2015,Business,Economy Class,01-08-2015,1,3,2,1,1,1,no
Southwest Airlines,10,04-08-2015,Business,Economy Class,01-07-2015,4,4,2,3,4,4,yes
Southwest Airlines,5,02-08-2015,Family Leisure,Economy Class,01-07-2015,3,5,2,5,3,3,no
Southwest Airlines,1,27-07-2015,Business,Economy Class,01-07-2015,1,1,1,1,1,1,no
Southwest Airlines,1,21-07-2015,Couple Leisure,Economy Class,01-07-2015,1,1,1,1,1,1,no
Southwest Airlines,3,20-07-2015,Business,Business Class,01-07-2015,2,3,2,3,3,2,yes
Southwest Airlines,2,14-07-2015,Business,Economy Class,01-07-2015,1,3,3,1,1,1,no
Southwest Airlines,5,11-07-2015,Solo Leisure,Economy Class,01-07-2015,2,3,3,3,3,5,yes
Southwest Airlines,8,08-07-2015,Family Leisure,Economy Class,01-07-2015,2,4,3,3,4,4,yes
Southwest Airlines,1,08-07-2015,Family Leisure,Economy Class,01-07-2015,2,1,3,3,1,1,no
Southwest Airlines,4,03-07-2015,Solo Leisure,Economy Class,01-07-2015,2,2,1,1,4,2,no
Southwest Airlines,10,17-06-2015,Family Leisure,Business Class,01-06-2015,5,5,5,4,5,5,yes
Southwest Airlines,8,14-06-2015,Couple Leisure,Economy Class,01-06-2015,4,5,5,5,5,5,yes
United Airlines,1,11-05-2019,Family Leisure,Economy Class,01-05-2019,1,1,1,1,1,1,no
United Airlines,1,11-05-2019,Family Leisure,Economy Class,01-04-2019,1,1,1,1,1,1,no
United Airlines,1,08-05-2019,Solo Leisure,Economy Class,01-05-2019,1,1,1,1,1,1,no
United Airlines,9,07-05-2019,Solo Leisure,Business Class,01-05-2019,5,5,4,5,5,5,yes
United Airlines,1,07-05-2019,Business,Economy Class,01-05-2019,1,2,2,2,1,1,no
United Airlines,1,06-05-2019,Solo Leisure,Economy Class,01-05-2019,1,1,1,1,1,1,no
United Airlines,7,06-05-2019,Business,Premium Economy,01-04-2019,3,4,4,3,4,5,yes
United Airlines,2,05-05-2019,Couple Leisure,Economy Class,01-05-2019,1,2,2,1,2,1,no
United Airlines,1,04-05-2019,Business,Economy Class,01-05-2019,1,1,1,1,1,1,no
United Airlines,1,04-05-2019,Business,Economy Class,01-05-2019,1,1,2,1,1,1,no
United Airlines,2,04-05-2019,Business,Business Class,01-05-2019,2,3,1,3,2,2,no
United Airlines,1,02-05-2019,Family Leisure,Economy Class,01-04-2019,1,1,1,1,1,1,no
United Airlines,1,02-05-2019,Couple Leisure,Economy Class,01-04-2019,1,2,1,2,1,1,no
United Airlines,1,02-05-2019,Solo Leisure,Economy Class,01-04-2019,1,1,1,1,1,1,no
United Airlines,1,01-05-2019,Couple Leisure,Premium Economy,01-04-2019,1,1,1,1,1,1,no
United Airlines,9,01-05-2019,Solo Leisure,Premium Economy,01-01-2019,5,5,5,5,5,5,yes
United Airlines,8,28-04-2019,Family Leisure,Economy Class,01-04-2019,5,5,5,5,1,5,no
United Airlines,1,28-04-2019,Family Leisure,Economy Class,01-04-2019,3,3,1,1,1,1,no
United Airlines,1,27-04-2019,Business,Economy Class,01-04-2019,1,1,1,1,1,1,no
United Airlines,2,27-04-2019,Couple Leisure,Economy Class,01-04-2019,2,1,1,2,1,1,no
United Airlines,10,26-04-2019,Couple Leisure,Business Class,01-04-2019,5,5,5,5,5,5,yes
United Airlines,1,26-04-2019,Business,Economy Class,01-04-2019,2,1,3,2,3,1,no
United Airlines,1,23-04-2019,Business,Economy Class,01-04-2019,1,1,2,1,1,1,no
United Airlines,1,23-04-2019,Couple Leisure,Economy Class,01-04-2019,2,3,2,4,3,1,no
United Airlines,1,23-04-2019,Business,First Class,01-04-2019,3,1,2,1,1,1,no
United Airlines,1,23-04-2019,Family Leisure,Economy Class,01-04-2019,1,2,2,5,1,1,no
United Airlines,1,22-04-2019,Solo Leisure,Economy Class,01-04-2019,1,3,2,2,2,1,no
United Airlines,1,22-04-2019,Family Leisure,Economy Class,01-04-2019,1,1,1,1,1,1,no
United Airlines,1,22-04-2019,Family Leisure,Economy Class,01-04-2019,1,4,1,1,3,1,no
United Airlines,1,22-04-2019,Business,Business Class,01-04-2019,1,1,1,1,1,1,no
United Airlines,1,22-04-2019,Solo Leisure,First Class,01-04-2019,1,2,1,1,3,1,no
United Airlines,1,20-04-2019,Business,Economy Class,01-04-2019,1,1,1,1,1,1,no
United Airlines,2,18-04-2019,Business,Economy Class,01-04-2019,3,4,3,3,1,2,no
United Airlines,1,17-04-2019,Solo Leisure,Economy Class,01-04-2019,3,3,3,4,1,1,no
United Airlines,1,16-04-2019,Couple Leisure,Economy Class,01-04-2019,2,1,1,1,1,1,no
United Airlines,1,16-04-2019,Solo Leisure,Economy Class,01-04-2019,1,1,1,1,1,1,no
United Airlines,1,15-04-2019,Business,Economy Class,01-04-2019,1,1,1,1,1,1,no
United Airlines,1,14-04-2019,Family Leisure,Economy Class,01-01-2019,1,1,1,1,1,1,yes
United Airlines,1,13-04-2019,Couple Leisure,Economy Class,01-04-2019,1,1,1,1,1,1,no
United Airlines,1,13-04-2019,Business,Economy Class,01-04-2019,3,3,1,1,1,1,no
United Airlines,2,11-04-2019,Couple Leisure,Economy Class,01-04-2019,2,2,1,1,2,1,no
United Airlines,1,11-04-2019,Family Leisure,First Class,01-04-2019,1,1,1,1,1,1,no
United Airlines,7,10-04-2019,Family Leisure,Economy Class,01-04-2019,3,5,3,4,4,4,yes
United Airlines,3,10-04-2019,Solo Leisure,Economy Class,01-04-2019,3,1,4,5,3,3,no
United Airlines,1,10-04-2019,Business,Economy Class,01-04-2019,1,1,1,1,1,1,no
United Airlines,6,10-04-2019,Business,Business Class,01-04-2019,4,2,3,4,5,4,no
United Airlines,2,10-04-2019,Business,Economy Class,01-04-2019,1,1,5,4,1,1,no
United Airlines,1,09-04-2019,Family Leisure,Economy Class,01-04-2019,3,2,2,3,1,1,no
United Airlines,1,08-04-2019,Solo Leisure,Economy Class,01-04-2019,1,2,1,1,2,1,no
United Airlines,1,07-04-2019,Family Leisure,Economy Class,01-04-2019,1,1,1,4,1,1,no
United Airlines,8,07-04-2019,Business,Business Class,01-04-2019,4,4,4,3,4,4,yes
United Airlines,1,06-04-2019,Business,Economy Class,01-06-2018,1,1,1,1,1,1,no
United Airlines,1,06-04-2019,Solo Leisure,Economy Class,01-04-2019,1,2,1,1,1,1,no
United Airlines,9,06-04-2019,Couple Leisure,Premium Economy,01-03-2019,4,5,4,5,5,4,yes
United Airlines,1,05-04-2019,Family Leisure,Economy Class,01-03-2019,1,1,1,1,1,1,no
United Airlines,10,04-04-2019,Business,Economy Class,01-04-2019,4,5,4,5,4,5,yes
United Airlines,10,04-04-2019,Business,Business Class,01-04-2019,5,5,3,5,4,4,yes
United Airlines,1,03-04-2019,Couple Leisure,Economy Class,01-04-2019,3,4,3,2,1,1,no
United Airlines,10,02-04-2019,Couple Leisure,Economy Class,01-03-2019,4,5,4,5,4,5,yes
United Airlines,2,01-04-2019,Solo Leisure,Economy Class,01-03-2019,1,3,1,1,1,1,no
United Airlines,2,31-03-2019,Business,Economy Class,01-03-2019,1,2,1,3,2,3,no
United Airlines,3,31-03-2019,Solo Leisure,Economy Class,01-01-2019,3,2,2,2,1,4,no
United Airlines,1,31-03-2019,Solo Leisure,Economy Class,01-03-2019,1,1,1,2,3,1,no
United Airlines,8,29-03-2019,Solo Leisure,Business Class,01-03-2019,5,5,3,5,5,4,yes
United Airlines,8,29-03-2019,Solo Leisure,Economy Class,01-03-2019,4,5,5,5,5,5,yes
United Airlines,1,28-03-2019,Business,Economy Class,01-03-2019,2,2,1,1,1,1,no
United Airlines,2,28-03-2019,Couple Leisure,Premium Economy,01-03-2019,1,1,1,3,2,2,no
United Airlines,1,27-03-2019,Couple Leisure,Premium Economy,01-03-2019,1,1,2,1,1,1,no
United Airlines,1,25-03-2019,Family Leisure,Economy Class,01-03-2019,1,3,1,4,1,2,no
United Airlines,1,24-03-2019,Couple Leisure,Economy Class,01-03-2019,1,2,2,1,1,2,no
United Airlines,1,24-03-2019,Business,Economy Class,01-03-2019,4,1,1,1,1,1,no
United Airlines,1,23-03-2019,Couple Leisure,Economy Class,01-03-2019,1,2,2,4,1,1,no
United Airlines,3,23-03-2019,Solo Leisure,Economy Class,01-03-2019,1,1,4,4,1,1,no
United Airlines,10,22-03-2019,Business,First Class,01-03-2019,5,5,5,5,5,5,no
United Airlines,1,22-03-2019,Solo Leisure,Economy Class,01-03-2019,1,1,1,1,1,1,no
United Airlines,1,21-03-2019,Solo Leisure,Economy Class,01-03-2019,1,1,1,1,1,1,no
United Airlines,1,21-03-2019,Solo Leisure,Economy Class,01-01-2019,1,1,2,2,1,2,no
United Airlines,1,20-03-2019,Business,First Class,01-03-2019,4,1,1,1,4,1,no
United Airlines,2,20-03-2019,Solo Leisure,Economy Class,01-03-2019,1,4,2,1,1,1,no
United Airlines,10,19-03-2019,Couple Leisure,Economy Class,01-03-2019,5,5,5,5,5,5,yes
United Airlines,1,19-03-2019,Business,Economy Class,01-03-2019,3,2,2,2,1,2,no
United Airlines,1,18-03-2019,Family Leisure,Economy Class,01-03-2019,1,1,1,1,2,1,no
United Airlines,1,16-03-2019,Couple Leisure,Economy Class,01-03-2019,1,1,1,1,1,1,no
United Airlines,1,16-03-2019,Solo Leisure,Economy Class,01-03-2019,2,2,1,1,1,1,no
United Airlines,8,15-03-2019,Solo Leisure,Economy Class,01-02-2019,4,5,4,4,5,5,yes
United Airlines,1,15-03-2019,Couple Leisure,Economy Class,01-03-2019,1,2,1,1,1,1,no
United Airlines,2,14-03-2019,Family Leisure,Economy Class,01-03-2019,1,1,1,3,1,1,no
United Airlines,2,14-03-2019,Couple Leisure,Economy Class,01-03-2019,2,4,2,4,2,1,no
United Airlines,3,14-03-2019,Business,Economy Class,01-03-2019,1,1,1,1,1,1,no
United Airlines,1,14-03-2019,Business,Economy Class,01-03-2019,1,1,1,1,1,1,no
United Airlines,1,12-03-2019,Couple Leisure,Economy Class,01-03-2019,1,1,1,1,1,1,no
United Airlines,3,12-03-2019,Solo Leisure,First Class,01-03-2019,4,4,1,3,4,1,no
United Airlines,9,11-03-2019,Family Leisure,Economy Class,01-03-2019,3,5,5,5,5,4,yes
United Airlines,1,10-03-2019,Solo Leisure,Economy Class,01-03-2019,1,1,1,1,1,1,no
United Airlines,2,10-03-2019,Solo Leisure,Economy Class,01-03-2019,3,2,2,3,1,2,no
United Airlines,3,10-03-2019,Solo Leisure,Economy Class,01-03-2019,3,3,2,2,1,3,no
United Airlines,1,09-03-2019,Business,Economy Class,01-03-2019,1,2,1,1,1,1,no
United Airlines,10,08-03-2019,Family Leisure,Economy Class,01-03-2019,5,5,5,5,5,5,yes
United Airlines,1,07-03-2019,Solo Leisure,Economy Class,01-02-2019,3,1,2,1,1,1,no
United Airlines,3,05-03-2019,Couple Leisure,Economy Class,01-03-2019,2,4,1,3,1,3,no
United Airlines,1,04-03-2019,Family Leisure,Economy Class,01-03-2019,1,1,1,1,1,1,no
United Airlines,1,03-03-2019,Solo Leisure,Economy Class,01-02-2019,1,1,1,1,1,1,no
United Airlines,2,03-03-2019,Solo Leisure,Economy Class,01-03-2019,3,2,1,3,1,1,no
United Airlines,1,03-03-2019,Couple Leisure,Economy Class,01-03-2019,4,5,4,4,1,4,no
United Airlines,1,02-03-2019,Family Leisure,Economy Class,01-02-2019,1,2,1,1,2,2,no
United Airlines,1,01-03-2019,Couple Leisure,Economy Class,01-03-2019,1,1,1,1,1,1,no
United Airlines,10,01-03-2019,Solo Leisure,Premium Economy,01-02-2019,4,5,4,4,4,5,yes
United Airlines,1,01-03-2019,Family Leisure,Economy Class,01-02-2019,2,3,2,1,3,1,no
United Airlines,9,28-02-2019,Family Leisure,Economy Class,01-02-2019,4,5,3,4,4,4,yes
United Airlines,7,28-02-2019,Couple Leisure,Economy Class,01-02-2019,3,4,3,3,5,4,yes
United Airlines,1,27-02-2019,Solo Leisure,Economy Class,01-02-2019,1,1,1,1,1,1,no
United Airlines,1,27-02-2019,Solo Leisure,Economy Class,01-12-2018,1,1,1,1,1,1,no
United Airlines,1,25-02-2019,Business,First Class,01-02-2019,2,4,1,1,1,1,no
United Airlines,1,24-02-2019,Business,Economy Class,01-02-2019,3,2,2,3,1,1,no
United Airlines,1,23-02-2019,Business,Premium Economy,01-02-2019,1,2,1,1,1,1,no
United Airlines,1,23-02-2019,Family Leisure,Economy Class,01-02-2019,1,4,2,3,1,1,no
United Airlines,1,22-02-2019,Family Leisure,Economy Class,01-02-2019,1,1,1,1,1,1,no
United Airlines,1,19-02-2019,Solo Leisure,Economy Class,01-02-2019,2,2,1,1,1,1,no
United Airlines,1,18-02-2019,Solo Leisure,Premium Economy,01-02-2019,3,4,3,3,1,1,no
United Airlines,1,18-02-2019,Business,Economy Class,01-02-2019,1,1,1,1,1,1,no
United Airlines,2,16-02-2019,Couple Leisure,Economy Class,01-02-2019,1,3,1,1,1,1,no
United Airlines,1,14-02-2019,Solo Leisure,Economy Class,01-02-2019,1,1,2,3,1,1,no
United Airlines,1,14-02-2019,Business,Economy Class,01-02-2019,1,1,2,1,1,2,no
United Airlines,1,14-02-2019,Couple Leisure,Economy Class,01-02-2019,1,1,1,1,1,1,no
United Airlines,1,12-02-2019,Business,Economy Class,01-02-2019,1,1,1,1,1,1,no
United Airlines,8,12-02-2019,Solo Leisure,Business Class,01-01-2019,4,4,4,5,5,4,yes
United Airlines,1,11-02-2019,Couple Leisure,Economy Class,01-02-2019,1,2,1,1,1,2,no
United Airlines,1,11-02-2019,Solo Leisure,Economy Class,01-02-2019,1,1,1,1,1,1,no
United Airlines,1,07-02-2019,Business,Economy Class,01-01-2019,3,1,1,1,1,3,no
United Airlines,1,05-02-2019,Family Leisure,Economy Class,01-08-2018,2,1,2,1,1,2,no
United Airlines,1,04-02-2019,Business,Economy Class,01-02-2019,1,1,1,1,1,1,no
United Airlines,10,04-02-2019,Couple Leisure,Economy Class,01-02-2019,5,5,4,5,5,5,yes
United Airlines,1,03-02-2019,Solo Leisure,Economy Class,01-02-2019,1,1,1,1,1,1,no
United Airlines,10,03-02-2019,Family Leisure,Economy Class,01-02-2019,5,5,3,3,5,4,yes
United Airlines,1,02-02-2019,Solo Leisure,Economy Class,01-02-2019,3,5,4,4,3,1,no
United Airlines,1,31-01-2019,Couple Leisure,Economy Class,01-01-2019,4,4,3,1,1,1,no
United Airlines,1,30-01-2019,Couple Leisure,Economy Class,01-01-2019,1,1,1,1,1,1,no
United Airlines,5,29-01-2019,Business,Economy Class,01-01-2019,2,3,3,4,4,3,no
United Airlines,1,28-01-2019,Solo Leisure,Economy Class,01-01-2019,1,5,2,5,4,1,no
United Airlines,2,27-01-2019,Solo Leisure,Economy Class,01-01-2019,3,3,2,2,1,1,no
United Airlines,2,27-01-2019,Business,Economy Class,01-01-2019,1,1,1,2,2,2,no
United Airlines,9,23-01-2019,Solo Leisure,First Class,01-01-2019,5,5,4,3,5,5,yes
United Airlines,1,23-01-2019,Business,Business Class,01-01-2019,2,3,1,1,1,1,no
United Airlines,1,23-01-2019,Solo Leisure,Economy Class,01-12-2018,1,1,2,3,1,2,no
United Airlines,3,22-01-2019,Couple Leisure,First Class,01-01-2019,3,1,2,3,3,2,no
United Airlines,1,21-01-2019,Business,First Class,01-01-2019,3,3,5,1,3,1,no
United Airlines,1,20-01-2019,Couple Leisure,Economy Class,01-01-2019,1,1,1,1,1,1,no
United Airlines,1,20-01-2019,Solo Leisure,Economy Class,01-01-2019,2,2,1,2,1,1,no
United Airlines,6,17-01-2019,Family Leisure,Economy Class,01-12-2018,2,3,3,3,3,3,yes
United Airlines,1,15-01-2019,Solo Leisure,Economy Class,01-01-2019,2,3,2,1,1,1,no
United Airlines,1,14-01-2019,Business,Economy Class,01-12-2018,2,2,2,2,1,1,no
United Airlines,1,13-01-2019,Family Leisure,Economy Class,01-01-2019,1,1,1,1,1,1,no
United Airlines,10,13-01-2019,Solo Leisure,Business Class,01-01-2019,5,5,5,5,5,5,yes
United Airlines,1,12-01-2019,Family Leisure,Economy Class,01-01-2019,1,1,1,1,1,2,no
United Airlines,1,12-01-2019,Solo Leisure,Economy Class,01-01-2019,1,1,1,1,1,1,no
United Airlines,2,12-01-2019,Solo Leisure,Economy Class,01-01-2019,1,2,2,3,1,1,no
United Airlines,3,11-01-2019,Family Leisure,Economy Class,01-01-2019,3,4,1,1,1,2,no
United Airlines,1,11-01-2019,Couple Leisure,Economy Class,01-01-2019,1,1,1,1,1,1,no
United Airlines,2,08-01-2019,Business,Economy Class,01-01-2019,1,2,1,1,3,1,no
United Airlines,1,08-01-2019,Business,Business Class,01-01-2019,4,1,2,1,1,3,no
United Airlines,1,08-01-2019,Solo Leisure,Economy Class,01-01-2019,1,1,1,1,1,1,no
United Airlines,2,07-01-2019,Solo Leisure,Economy Class,01-12-2018,1,3,1,2,1,1,no
United Airlines,9,07-01-2019,Business,Business Class,01-01-2019,3,5,4,5,3,4,yes
United Airlines,1,04-01-2019,Solo Leisure,Economy Class,01-12-2018,1,1,1,1,1,1,no
