airline,overall_rating,review_date,traveller_type,cabin,departure_date,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,recommended
Turkish Airlines,3,06-02-2019,Solo Leisure,Economy Class,01-02-2019,2,4,3,4,2,1,no
Turkish Airlines,7,05-02-2019,Couple Leisure,Economy Class,01-02-2019,4,4,2,1,5,3,no
Turkish Airlines,10,04-02-2019,Couple Leisure,Economy Class,01-01-2019,5,5,5,5,5,5,yes
Turkish Airlines,10,31-01-2019,Solo Leisure,Economy Class,01-01-2019,5,5,5,5,4,5,yes
Turkish Airlines,7,28-01-2019,Business,Economy Class,01-01-2019,3,5,5,4,5,4,yes
Turkish Airlines,1,27-01-2019,Business,Business Class,01-01-2019,3,1,1,2,4,1,no
Turkish Airlines,8,25-01-2019,Business,Economy Class,01-01-2019,4,4,4,4,4,4,yes
Turkish Airlines,1,21-01-2019,Business,Economy Class,01-01-2019,1,2,1,1,1,1,no
Turkish Airlines,10,20-01-2019,Business,Business Class,01-01-2019,4,5,5,5,5,5,yes
Turkish Airlines,8,20-01-2019,Business,Economy Class,01-11-2018,3,4,4,2,4,4,yes
Turkish Airlines,1,18-01-2019,Solo Leisure,Economy Class,01-01-2019,3,1,1,2,1,2,no
Turkish Airlines,1,17-01-2019,Business,Business Class,01-01-2019,2,1,2,1,1,3,no
Turkish Airlines,1,17-01-2019,Solo Leisure,Business Class,01-12-2018,1,1,1,1,1,1,no
Turkish Airlines,10,16-01-2019,Couple Leisure,Business Class,01-01-2019,5,5,5,5,5,5,yes
Turkish Airlines,1,16-01-2019,Business,Business Class,01-01-2019,1,1,1,1,1,1,no
Turkish Airlines,1,13-01-2019,Family Leisure,Economy Class,01-12-2018,3,3,3,3,1,1,no
Turkish Airlines,1,13-01-2019,Solo Leisure,Economy Class,01-01-2019,1,1,1,1,1,1,no
Turkish Airlines,3,11-01-2019,Family Leisure,Economy Class,01-01-2019,3,3,3,4,3,2,no
Turkish Airlines,1,09-01-2019,Solo Leisure,Economy Class,01-01-2019,4,4,3,3,1,3,no
Turkish Airlines,8,09-01-2019,Solo Leisure,Economy Class,01-12-2018,5,5,5,3,4,3,yes
Turkish Airlines,2,09-01-2019,Solo Leisure,Economy Class,01-05-2018,5,5,4,4,4,2,yes
Turkish Airlines,1,07-01-2019,Family Leisure,Economy Class,01-12-2018,2,2,2,1,1,1,no
Turkish Airlines,1,07-01-2019,Solo Leisure,Economy Class,01-11-2018,1,1,1,1,1,1,no
Turkish Airlines,1,07-01-2019,Solo Leisure,Economy Class,01-01-2019,2,2,2,1,1,1,no
Turkish Airlines,1,06-01-2019,Business,Economy Class,01-12-2018,3,3,2,3,1,2,no
Turkish Airlines,1,05-01-2019,Family Leisure,Economy Class,01-12-2018,2,1,2,1,1,1,no
Turkish Airlines,4,04-01-2019,Couple Leisure,Economy Class,01-12-2018,3,1,3,3,1,3,no
Turkish Airlines,2,03-01-2019,Family Leisure,Economy Class,01-12-2018,1,1,1,2,1,1,no
Turkish Airlines,10,02-01-2019,Family Leisure,Business Class,01-01-2019,5,5,5,4,5,5,yes
Turkish Airlines,1,31-12-2018,Solo Leisure,Business Class,01-12-2018,2,1,1,2,1,1,no
Turkish Airlines,1,31-12-2018,Family Leisure,Economy Class,01-12-2018,2,1,1,1,1,1,no
